sim,Area_ha
0,4030.0262659995706
0,1644.7796940000476
0,1502.1840009999933
0,982.4546939999581
0,889.9186875414849
0,406.5816030000016
0,399.6098969999314
0,380.8678021693677
0,365.29500299999415
0,322.53772299992744
0,276.9269229999736
0,275.64832299997806
0,247.7661009999752
0,238.8540009999961
0,216.69899899997714
0,205.26899900000097
0,192.30180099999905
0,191.50560299998523
0,166.31925
0,163.71
0,163.17000000000002
0,156.06
0,154.5063
0,144.6930069999218
0,143.7326980000019
0,139.94670299999714
0,139.50179899997713
0,135.1719020000104
0,134.7489009999752
0,134.25300300001055
0,129.33
0,124.30784599997924
0,121.11232400000077
0,117.61950200000108
0,117.27000000000001
0,116.09790100000501
0,111.70792400000096
0,109.64100099999905
0,108.86602499997616
0,106.65
0,103.86
0,102.13207599999905
0,93.33509900000095
0,93.33
0,91.89
0,91.39012400000095
0,88.11
0,85.95
0,83.79
0,81
0,77.91420299999751
0,77.04
0,75.59670099999904
0,75.2283019999981
0,72.29767599999933
0,70.6512
0,66.87599700000436
0,65.79
0,65.52000000000001
0,60.88342300000191
0,58.68
0,58.55974399925471
0,56.970000000000006
0,56.88
0,56.160000000000004
0,55.33290299999491
0,54.720000000000006
0,54.331124000000955
0,53.22164900000096
0,53.1816039999947
0,50.940000000000005
0,50.22
0,47.0022
0,46.896075
0,45.7022960000068
0,45.18
0,44.910000000000004
0,40.59
0,40.56700733703226
0,39.97522799999491
0,39.78
0,38.845351999996886
0,37.707000999999046
0,36
0,34.02
0,33.65820100000203
0,33.480000000000004
0,32.67
0,32.13
0,31.770000000000003
0,31.35284900000021
0,31.228800000000003
0,30.6
0,30.240000000000002
0,29.34
0,28.55767599999979
0,28.53
0,28.371000999999048
0,28.266075
0,27.990000000000002
0,26.30160099999942
0,26.19
0,26.099932445317506
0,25.02
0,24.66
0,24.21
0,24.162601999998095
0,23.310000000000002
0,23.310000000000002
0,22.32
0,22.23
0,21.537675999998303
0,21.51
0,21.330000000000002
0,21.23730200000033
0,21.019875999999048
0,20.6994
0,20.34
0,20.34
0,20.16
0,19.98
0,19.62
0,18.630000000000003
0,18.54
0,18.4722
0,18.36
0,18.245700999998302
0,18.09
0,17.64
0,17.46
0,16.830000000000002
0,16.604400000002048
0,16.560000000000002
0,16.470000000000002
0,16.02
0,15.930000000000001
0,15.75
0,15.57
0,15.57
0,15.48
0,15.21
0,15.030000000000001
0,14.49
0,14.22
0,14.040000000000001
0,13.950000000000001
0,13.770000000000001
0,13.680000000000001
0,13.23
0,12.96
0,12.780000000000001
0,12.690000000000001
0,12.51
0,12.51
0,12.51
0,12.33
0,11.790000000000001
0,11.790000000000001
0,11.610000000000001
0,11.43
0,11.25
0,11.25
0,11.16
0,10.89
0,10.89
0,10.530000000000001
0,10.440000000000001
0,10.35
0,10.26
0,10.26
0,10.26
0,9.99
0,9.540000000000001
0,9.540000000000001
0,9.540000000000001
0,9.450000000000001
0,9.360000000000001
0,9.360000000000001
0,9.27
0,9.18
0,9.18
0,9.059649357022568
0,9
0,9
0,8.91
0,8.64
0,8.55
0,8.370000000000001
0,8.370000000000001
0,8.370000000000001
0,8.280000000000001
0,8.1
0,8.01
0,7.74
0,7.74
0,7.65
0,7.470000000000001
0,7.380000000000001
0,7.380000000000001
0,7.29
0,7.11
0,7.02
0,7.02
0,7.02
0,6.930000000000001
0,6.66
0,6.66
0,6.57
0,6.57
0,6.48
0,6.48
0,6.390000000000001
0,6.300000000000001
0,6.21
0,6.03
0,6.03
0,5.94
0,5.850000000000001
0,5.850000000000001
0,5.850000000000001
0,5.755454080528021
0,5.67
0,5.67
0,5.58
0,5.58
0,5.49
0,5.49
0,5.4
0,5.4
0,5.31
0,5.31
0,5.31
0,5.220000000000001
0,5.220000000000001
0,5.220000000000001
0,5.220000000000001
0,5.13
0,5.13
0,5.13
0,5.13
0,5.13
0,5.04
0,5.04
0,5.04
0,5.04
0,5.04
0,4.95
0,4.95
0,4.95
0,4.95
0,4.86
0,4.86
0,4.86
0,4.77
0,4.77
0,4.77
0,4.77
0,4.680000000000001
0,4.680000000000001
0,4.5
0,4.5
0,4.5
0,4.5
0,4.5
0,4.5
0,4.41
0,4.32
0,4.32
